,Total Frame Lenght
0,33
1,67
2,67
3,61
4,40
5,35
6,37
7,58
8,69
9,58
10,36
11,37
12,35
13,57
14,35
15,35
16,45
17,54
18,43
19,34
20,33
21,34
22,63
23,41
24,44
25,54
26,60
27,53
28,64
29,27
30,70
31,32
32,49
33,54
34,44
35,34
36,32
37,33
38,61
39,48
40,72
41,59
42,34
43,34
44,30
45,32
46,56
47,89
48,45
49,51
50,62
51,76
52,50
53,43
54,41
55,40
56,40
57,39
58,64
59,57
60,53
61,44
62,32
63,63
64,45
65,65
66,70
67,45
68,56
