,Total Frame Lenght
0,53
1,51
2,50
3,35
4,39
5,67
6,43
7,54
8,55
9,60
10,78
11,60
12,54
13,40
14,32
15,68
16,72
17,33
18,34
19,53
20,48
21,39
22,41
23,77
24,85
25,56
26,68
27,83
28,66
29,41
30,72
31,41
32,45
33,39
34,44
35,57
36,75
37,85
38,62
39,64
40,47
41,37
42,70
43,68
44,45
45,56
46,55
47,62
48,55
49,36
50,39
51,59
52,43
53,42
54,53
55,46
56,45
57,78
58,52
59,53
60,58
61,77
62,84
63,79
64,76
65,56
