,Total Frame Lenght
0,74
1,111
2,115
3,85
4,66
5,83
6,122
7,75
8,87
9,166
10,194
11,146
12,101
13,85
14,43
15,79
16,89
17,72
18,43
19,81
20,45
21,123
22,47
23,78
24,128
25,106
26,84
27,116
28,87
29,130
30,117
31,41
32,62
33,96
34,51
35,108
36,47
37,48
38,64
39,81
40,109
41,71
42,134
43,119
44,82
45,74
46,49
47,84
48,116
49,87
50,57
51,48
52,69
53,147
54,81
55,95
56,129
57,76
58,85
