,Total Frame Lenght
0,69
1,57
2,53
3,33
4,112
5,73
6,81
7,110
8,82
9,52
10,42
11,66
12,71
13,120
14,40
15,51
16,47
17,91
18,67
19,98
20,58
21,62
22,68
23,56
24,63
25,75
26,71
27,109
28,92
29,80
30,55
31,53
32,86
33,52
34,64
35,53
36,64
37,54
38,58
39,119
40,65
41,74
42,91
43,129
44,109
45,70
